BioMedGraphica_Conn_ID,BioMedGraphica_ID,NCBI_Gene_ID,Ensembl_Gene_ID_Version,Gene_Start,Gene_End,Chromosome,Gene_Type,Ensembl_Gene_ID,HGNC_ID,Gene_Name,RefSeq_ID,OMIM_ID,HGNC_Symbol
BMGC_GN00001,BMG_GN000001,1,ENSG00000121410.12,58345178,58353492,19,protein_coding,ENSG00000121410,HGNC:5,alpha-1-B glycoprotein,NC_000019.10;NC_060943.1,138670,A1BG
BMGC_GN00002,BMG_GN000002,10,ENSG00000156006.5,18391282,18401218,8,protein_coding,ENSG00000156006,HGNC:7646,N-acetyltransferase 2,NC_000008.11;NC_060932.1;NG_012246.1,612182,NAT2
BMGC_GN00003,BMG_GN000003,100,ENSG00000196839.14,44584896,44652252,20,protein_coding,ENSG00000196839,HGNC:186,adenosine deaminase,NG_007385.1;NC_000020.11;NC_060944.1,608958,ADA
BMGC_GN00004,BMG_GN000004,1000,ENSG00000170558.10,27932879,28177946,18,protein_coding,ENSG00000170558,HGNC:1759,cadherin 2,NC_000018.10;NC_060942.1;NG_011959.2,114020,CDH2
BMGC_GN00005,BMG_GN000005,10000,ENSG00000117020.19,243488233,243851079,1,protein_coding,ENSG00000117020,HGNC:393,AKT serine/threonine kinase 3,NC_000001.11;NT_187519.1;NC_060925.1;NG_029764.2,611223,AKT3
BMGC_GN00006,BMG_GN000006,100008586,ENSG00000236362.9,49551278,49568218,X,protein_coding,ENSG00000236362,HGNC:31906,G antigen 12F,,300730,GAGE12F
BMGC_GN00007,BMG_GN000007,100008587,ENSG00000274917.1,112025,112177,unplaced,rRNA,ENSG00000274917,HGNC:53533,"RNA, 5.8S ribosomal N5",,,RNA5-8SN5
BMGC_GN00008,BMG_GN000017,100009613,ENSG00000254417.2,70072065,70085346,11,lncRNA,ENSG00000254417,HGNC:33275,long intergenic non-protein coding RNA 2584,,,LINC02584
BMGC_GN00009,BMG_GN000018,100009667,ENSG00000236375.3,68010205,68010862,10,processed_pseudogene,ENSG00000236375,HGNC:33311,POU class 5 homeobox 1 pseudogene 5,,,POU5F1P5
BMGC_GN00010,BMG_GN000019,100009668,ENSG00000242551.2,128674735,128677005,3,unprocessed_pseudogene,ENSG00000242551,HGNC:33312,POU class 5 homeobox 1 pseudogene 6,,,POU5F1P6
BMGC_GN00011,BMG_GN000020,100009669,ENSG00000248365.3,98119191,98119731,3,processed_pseudogene,ENSG00000248365,HGNC:33313,POU class 5 homeobox 1 pseudogene 7,,,POU5F1P7
